ID,Name,Longitude,Latitude
14011,Bef Mt Faber Lodge,103.82553,1.26795
14019,Opp Mt Faber Lodge,103.82572,1.26849
14021,The Pearl @ Mt Faber,103.82478,1.27133
14029,Blk 105,103.82419,1.27247
14031,St. Theresa's Convent,103.82306,1.27624
14039,Opp St. Theresa's Convent,103.82346,1.27664
14041,Blk 54,103.81247,1.27327
14049,Opp Blk 55,103.81304,1.27324
14051,Aft Telok Blangah Hts,103.81516,1.27585
14059,Bef Telok Blangah Hts,103.81561,1.27603
14061,Opp Former Railway Stn,103.83862,1.27231
14069,Former Railway Stn,103.83641,1.27254
14071,Keppel Workshop,103.8339,1.2722
14081,Tg Pagar DP Blk F5,103.83089,1.2709
14089,Opp Tg Pagar DP Blk F5,103.82979,1.27046
14101,Opp Keppel DP Blk 517,103.82826,1.26838
14109,Keppel DP Blk 517,103.82722,1.26805
14119,Opp VivoCity,103.82228,1.26592
14121,Opp HarbourFront Int,103.81926,1.26591
14129,Harbourfront Stn Exit A,103.81978,1.26608
14131,Caribbean at Keppel Bay,103.81675,1.2674
14139,Bef Seah Im Rd,103.81547,1.26864
14141,HarbourFront Stn/Vivocity,103.82211,1.26552
14151,Opp Chr Community Chapel,103.81294,1.26965
14159,Bef Chr Community Chapel,103.81315,1.26994
14161,Telok Blangah Stn,103.8101,1.27076
14169,Opp Telok Blangah Stn,103.80942,1.27119
14171,Opp Yeo's Bldg,103.80655,1.27146
14179,Yeo's Bldg,103.8063,1.27188
14189,Aft Alexandra Rd,103.80398,1.27269
14191,Blk 105 CP,103.81211,1.28122
14199,Blk 118,103.81275,1.28132
14201,Blk 110,103.80915,1.28167
14209,Aft Hewlett Packard,103.80959,1.28176
14211,ISS Intl Sch,103.80522,1.28161
14219,Opp Blk 114,103.80685,1.28219
14221,Opp St. Teresa's Ch,103.82893,1.27359
14229,St. Teresa's Ch,103.82858,1.27371
14231,Keppel DP Blk 519,103.82667,1.27101
14239,Opp Keppel DP Blk 519,103.82714,1.27178
14241,Opp Blk 1,103.81687,1.27914
14249,Blk 1,103.8173,1.27927
14259,Blk 11,103.81866,1.27785
14269,Blk 10,103.81999,1.27758
14271,Al-Amin Mque,103.81915,1.27568
14279,Blk 25,103.81921,1.27592
14281,Safra Mt Faber,103.81804,1.277
14291,Blk 27,103.82133,1.27468
14299,Opp Blk 27,103.82127,1.27489
14309,Blk 41,103.82303,1.27129
14319,Blk 28,103.82064,1.27348
14329,Blk 67,103.80943,1.27455
14331,Opp Blk 70B,103.81107,1.27695
14339,Blk 70A,103.81125,1.27666
14341,Opp Blk 59,103.81347,1.27593
14349,Blk 59,103.8134,1.27579
14351,Aft Blk 48,103.81036,1.27275
14359,Blk 50,103.81035,1.27289
14369,The Interlace,103.80366,1.28154
14379,Blk 40,103.82379,1.27244
14381,Blk 109,103.82554,1.27413
14389,Opp Blk 109,103.82501,1.27428
14391,Opp Blk 85,103.80859,1.27791
14399,Blk 85,103.80859,1.27764
14471,Blk 114,103.80665,1.28201
14489,Blk 36 Mkt/FC,103.82159,1.27238
14491,Opp Telok Blangah Mkt/FC,103.80795,1.27279
14499,Telok Blangah Mkt/FC,103.80782,1.27291
14501,Opp Blk 91A,103.80648,1.27687
14509,Blk 92B,103.80681,1.27565
14519,Resorts World Sentosa,103.8257,1.25352
14521,Village Hotel,103.82091,1.25643
14529,Opp Village Hotel,103.82122,1.25323
14539,Beach Station Bus Terminal,103.81855,1.25143
15041,Alexandra Retail Ctr,103.80189,1.27463
15049,Opp Alexandra Retail Ctr,103.80216,1.27459
15051,Alexandra Pt,103.80238,1.27698
15059,Opp Alexandra Pt,103.8027,1.27686
15071,Opp Lor Sarhad,103.78701,1.28142
15079,Aft Lor Sarhad,103.78683,1.28078
